backbone_name,model_size,model_type,loss_function,pre_training_strategy,dataset,clean_acc,Linf_acc,L2_acc,L1_acc,common_acc
"convnext_b,clip,laiona",large,fully convolutional,TRADES,self-supervised (multimodal),flowers-102,0.88,0.624,0.671,0.444,0.7893333333333333
"convnext_b,clip,laion2b",large,fully convolutional,TRADES,self-supervised (multimodal),flowers-102,0.852,0.462,0.635,0.525,0.728
"deit_s,sup,in1k",medium,fully attention,TRADES,supervised,flowers-102,0.012,0.0,0.0,0.0,0.010666666666666666
"resnet50,rob-sup,in1k",medium,fully convolutional,TRADES,supervised (robust),flowers-102,0.72,0.46,0.182,0.02,0.606
"vit_s,sup,in22k",medium,fully attention,TRADES,supervised,flowers-102,0.804,0.0,0.0,0.0,0.584
"convnext_b,sup,in1k",large,fully convolutional,TRADES,supervised,flowers-102,0.815,0.473,0.605,0.532,0.723
"resnet50,sup,in1k",medium,fully convolutional,TRADES,supervised,flowers-102,0.756,0.0,0.0,0.001,0.5586666666666666
"vit_b,rob-sup,in1k",large,fully attention,TRADES,supervised (robust),flowers-102,0.471,0.054,0.12,0.036,0.4186666666666667
"vit_b,mae,in1k",large,fully attention,TRADES,self-supervised,flowers-102,0.3,0.09,0.07466666666666667,0.004,0.249
"vit_b,dino,in1k",medium,fully attention,TRADES,self-supervised,flowers-102,0.024,0.0,0.0,0.0,0.033
"convnext_b,sup,in22k",large,fully convolutional,TRADES,supervised,flowers-102,0.907,0.677,0.769,0.639,0.821
"convnext_b,rob-sup,in1k",large,fully convolutional,TRADES,supervised (robust),flowers-102,0.414,0.108,0.126,0.053,0.34933333333333333
"vit_b,sup,in1k",large,fully attention,TRADES,supervised,flowers-102,0.191,0.031,0.06,0.041,0.154
"vit_b,sup,in22k",large,fully attention,TRADES,supervised,flowers-102,0.811,0.202,0.255,0.005,0.73
"vit_b,clip,laion2b",large,fully attention,TRADES,self-supervised (multimodal),flowers-102,0.806,0.478,0.5493333333333333,0.341,0.692
"convnext_t,sup,in1k",medium,fully convolutional,TRADES,supervised,flowers-102,0.868,0.0,0.0,0.002,0.772
"convnext_t,rob-sup,in1k",medium,fully convolutional,TRADES,supervised (robust),flowers-102,0.804,0.6053333333333333,0.5253333333333333,0.264,0.703
"deit_s,rob-sup,in1k",medium,fully attention,TRADES,supervised (robust),flowers-102,0.7706666666666667,0.5333333333333333,0.524,0.19466666666666665,0.687
"vit_s,sup,in1k",medium,fully attention,TRADES,supervised,flowers-102,0.25866666666666666,0.0,0.0,0.0,0.16666666666666666
"convnext_t,sup,in22k",medium,fully convolutional,TRADES,supervised,flowers-102,0.862,0.558,0.688,0.5546666666666666,0.776
"vit_b,clip,laion2b",large,fully attention,TRADES,fusion,flowers-102,0.815,0.084,0.224,0.173,0.724
"vit_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),flowers-102,0.397,0.107,0.116,0.031,0.309
"vit_s,sup,ink22k-in1k",medium,fully attention,TRADES,supervised (multistep),flowers-102,0.627,0.03,0.128,0.04666666666666667,0.526
"eva02_b,mim,ink22k",large,fully attention,TRADES,self-supervised,flowers-102,0.828,0.5386666666666666,0.625,0.404,0.7186666666666667
"eva02_b,mim,ink22k",medium,fully attention,TRADES,self-supervised,flowers-102,0.229,0.067,0.079,0.056,0.192
"swin_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),flowers-102,0.859,0.532,0.658,0.545,0.744
"swin_t,sup,in1k",medium,fully attention,TRADES,supervised,flowers-102,0.206,0.071,0.076,0.052,0.174
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,TRADES,fusion,flowers-102,0.86,0.604,0.664,0.409,0.779
"convnext_b,sup,in22k-in1k",large,fully convolutional,TRADES,supervised (multistep),flowers-102,0.896,0.669,0.758,0.632,0.815
"convnext_t,sup,in22k-in1k",medium,fully convolutional,TRADES,supervised (multistep),flowers-102,0.858,0.56,0.678,0.5306666666666666,0.785
"coatnet_0,sup,in1k",medium,hybrid,TRADES,supervised,flowers-102,0.53,0.0,0.0,0.0,0.291
"coatnet_2,sup,in12k-in1k",large,hybrid,TRADES,supervised (multistep),flowers-102,0.885,0.604,0.674,0.489,0.792
"coatnet_2,sup,in12k",large,hybrid,TRADES,supervised,flowers-102,0.893,0.606,0.6933333333333334,0.52,0.8066666666666666
